"SourceFile","Kind","Original","Translation","Status","LocalizationAttempted","AttemptStatus","FailureReason","Safety","Notes","Locators"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Already Occupied","- 已被占用","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=53"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Another Capital Too Close","- 其他首都太近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=621"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Area Too Small","- 区域过小","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=153"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- At Cap Within 6 Rings","- 6 圈内已达上限","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=153"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Contains a Major","- 包含主要特征","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=725"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Contains Romans","- 包含罗马人","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=829"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Failed Constraints Check","- 未通过约束检查","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=103"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Foreign City Too Close","- 外国城市太近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=569"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Friendly City Too Close","- 友方城市太近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=517"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Impassable","- 不可通行","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=1037"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Insufficient 'Or' Terrain","- 可选地形不足","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=621"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Insufficient Required River","- 必需河流不足","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=517"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Insufficient Required Terrain","- 必需地形不足","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=569"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Invalid Terrain","- 地形无效","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=725"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Invalid Terrain in Zone","- 区域内地形无效","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=777"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Invalid Terrain Present","- 存在无效地形","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=465"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Invalid Trait Adjacent","- 相邻无效特征","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=361"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Invalid Trait Present","- 存在无效特征","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=309"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Lacks Required Resource","- 缺少所需资源","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-035229\accepted.json","MethodToken=0x06000091; ILOffset=933"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Lacks Required River","- 缺少所需河流","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-035229\accepted.json","MethodToken=0x06000091; ILOffset=881"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Lacks Required Terrain","- 缺少所需地形","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=829"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Major Too Close","- 主要特征过近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=777"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Major Trait Cannot Share","- 主要特征不能共存","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=257"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Map Edge Too Close","- 距地图边缘太近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=309"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- No Romans in Group","- 组内没有罗马人","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044405\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=881"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Not Enough Rainfall","- 降雨不足","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-045333\accepted.json","TypeFullName=AtTheGatesCommon.ns_Enums.MapUtils; MethodName=BuildObjectPlacementFailedMessage; MethodToken=0x06000091; ILOffset=413"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Not in Same Area","- 不在同一区域","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=103"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Outside Control","- 控制范围外","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=205"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Roman Capital Too Close","- 罗马首都太近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=673"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Structure Too Close","- 距建筑太近","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=465"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Too Cold or Warm in Winter","- 冬季过冷或过暖","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-045333\accepted.json","TypeFullName=AtTheGatesCommon.ns_Enums.MapUtils; MethodName=BuildObjectPlacementFailedMessage; MethodToken=0x06000091; ILOffset=361"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Too Far From Friendly City","- 距友方城市太远","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=257"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Water","- 水域","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-034831\accepted.json","MethodToken=0x06000091; ILOffset=985"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Winter Temperature","- 冬季温度","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=673"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Zone is Full","- 区域已满","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=205"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","- Zone is Landlocked","- 区域为内陆","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-044137\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.ZoneTraitConfig; MethodName=BuildTraitPlacementFailedMessage; MethodToken=0x06000f2a; ILOffset=53"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","% bonus to [Combat Power|POWER]","%[战斗力|POWER]加成","Translated","Yes","AcceptedSmoke","","TooltipFragment","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-063856\accepted.json","MethodToken=0x06001730; ILOffset=338"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","% bonus to [Resource Production|PRODUCE]","% [资源生产|PRODUCE]加成","Translated","Yes","AcceptedSmoke","","TooltipFragment","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260702-050720\accepted.json","TypeFullName=AtTheGatesCommon.ns_Config.GAME; MethodName=BuildDescription_Families; MethodToken=0x06001730; ILOffset=393"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","% for each additional","%，每额外一个","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-055841\accepted.json","MethodToken=0x06001723; ILOffset=288 | MethodToken=0x06001723; ILOffset=492"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","% less per additional","%，每额外一个减少","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-044826\accepted.json","MethodToken=0x0600011a; ILOffset=91"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","% more per additional","%，每额外一个增加","Translated","Yes","AcceptedSmoke","","CommonDisplayCandidate","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-045307\accepted.json","MethodToken=0x0600011a; ILOffset=161"
"source\AtTheGatesCommon.original.dll","Common IL rewrite","% the normal rate after a [Deposit|DEPOSIT] has [Degraded|DEPLETE] once, and then becomes permanently exhausted and shuts down after Degrading a second time.","%正常速率，在[资源点|DEPOSIT]首次[枯竭|DEPLETE]后继续；第二次枯竭后将永久耗尽并停工。","Translated","Yes","AcceptedSmoke","","TooltipFragment","Trial evidence: C:\Users\98538\Documents\AtTheGateChinese\.tmp\trial-localization\20260701-062543\accepted.json","MethodToken=0x06001724; ILOffset=1870"
