"Key","Text"
"TEXT.Name.Profession.Artisan","Artisan#"
"TEXT.Name.Profession.Luthier","Luthier#"
"TEXT.Name.Profession.Woodsplitter","Woodsplitter#"
"TEXT.Name.Profession.Hewer","Hewer#"
"TEXT.Name.Profession.MasterHewer","Master Hewer#"
"TEXT.Name.Profession.BlockCutter","Block Cutter#"
"TEXT.Name.Profession.MasterBlockCutter","Master Block Cutter#"
"TEXT.Name.Profession.Stonemason","Stonemason#"
"TEXT.Name.Profession.Loomer","Loomer#"
"TEXT.Name.Profession.Dyer","Dyer#"
"TEXT.Name.Profession.Tailor","Tailor#"
"TEXT.Name.Profession.Couturier","Couturier#"
"TEXT.Name.Profession.LordOfTheForest","|Lord of the Forest|Lords of the Forest|"
"TEXT.Name.Profession.Wheelwright","Wheelwright#"
"TEXT.Name.Profession.Wainwright","Wainwright#"
"TEXT.Name.Profession.Architect","Architect#"
"TEXT.Name.Profession.Sawyer","Sawyer#"
"TEXT.Name.Profession.Stonecarver","Stonecarver#"
"TEXT.Name.Profession.Sculptor","Sculptor#"
"TEXT.Name.Profession.Saddler","Saddler#"
"TEXT.Name.Profession.Engineer","Engineer#"
"TEXT.Name.Profession.Explorer","Explorer#"
"TEXT.Name.Profession.Guide","Guide#"
"TEXT.Name.Profession.Bard","Bard#"
"TEXT.Name.Profession.Minstrel","Minstrel#"
"TEXT.Name.Profession.Poet","Poet#"
"TEXT.Name.Profession.Trader","Trader#"
"TEXT.Name.Profession.Surveyor","Surveyor#"
"TEXT.Name.Profession.Lorekeeper","Lorekeeper#"
"TEXT.Name.Profession.Scribe","Scribe#"
"TEXT.Name.Profession.Scholar","Scholar#"
"TEXT.Name.Profession.Tinkerer","Tinkerer#"
"TEXT.Name.Profession.Consul","Consul#"
"TEXT.Name.Profession.OverseerOfDeals","|Overseer of Deals|Overseers of Deals|"
"TEXT.Name.Profession.TrailMaker","Trail Maker#"
"TEXT.Name.Profession.Instructor","Instructor#"
"TEXT.Name.Profession.SupplyWagon","Supply Wagon#"
"TEXT.Name.Profession.LordOfDeals","|Lord of Deals|Lords of Deals|"
"TEXT.Name.Profession.Patron","Patron#"
"TEXT.Name.Profession.MasterOfDeals","|Master of Deals|Master of Deals|"
"TEXT.Name.Profession.Inventor","Inventor#"
"TEXT.Name.Profession.Merchant","Merchant#"
"TEXT.Name.Profession.RomanLegion","Roman Legion#"
"TEXT.Name.Profession.RomanLightCavalry","Equite#"
"TEXT.Name.Profession.RomanHeavyCavalry","Cataphract#"
"TEXT.Name.Profession.Catapult","Catapulter#"
"TEXT.Name.Profession.Galley","Galley#"
"TEXT.Name.Profession.SupplyShip","Supply Ship#"
"TEXT.Name.Profession.BanditInfantry","Bandit#"
"TEXT.Name.Profession.BanditCavalry","Bandit Raider#"
"TEXT.Name.Profession.SlaveInfantry","Slave#"
"TEXT.Name.Road.Roman","Roman Road#"
"TEXT.Name.Road.Path","Path#"
"TEXT.Name.Structure.LoggingCamp","Logging Camp#"
"TEXT.Name.Structure.Woodworks","|Woodworks|Woodworks|"
"TEXT.Name.Structure.WheatFarm","Wheat Farm#"
"TEXT.Name.Structure.WheatFarm2","Wheat Plantation#"
"TEXT.Name.Structure.WheatFarm3","Wheat Grange#"
"TEXT.Name.Structure.WheatFarm4","Wheat Estate#"
"TEXT.Name.Structure.BarleyFarm","Barley Farm#"
"TEXT.Name.Structure.BarleyFarm2","Barley Plantation#"
"TEXT.Name.Structure.BarleyFarm3","Barley Grange#"
"TEXT.Name.Structure.BarleyFarm4","Barley Estate#"
"TEXT.Name.Structure.Orchard","Orchard#"
"TEXT.Name.Structure.Orchard2","Fruit Plantation#"
"TEXT.Name.Structure.Orchard3","Orchard v3#"
"TEXT.Name.Structure.Orchard4","Orchard v4#"
"TEXT.Name.Structure.Vineyard","Vineyard#"
"TEXT.Name.Structure.Vineyard2","Grape Plantation#"
"TEXT.Name.Structure.Vineyard3","Grape Grange#"
"TEXT.Name.Structure.Vineyard4","Vineyard v4#"
"TEXT.Name.Structure.OliveFarm","Olive Farm#"
"TEXT.Name.Structure.OliveFarm2","Olive Plantation#"
"TEXT.Name.Structure.OliveFarm3","Olive Grange#"
"TEXT.Name.Structure.OliveFarm4","Olive Farm v4#"
"TEXT.Name.Structure.FlaxFarm","Flax Farm#"
"TEXT.Name.Structure.FlaxFarm2","Flax Plantation#"
"TEXT.Name.Structure.FlaxFarm3","Flax Grange#"
"TEXT.Name.Structure.FlaxFarm4","Flax Farm v4#"
"TEXT.Name.Structure.Apiary","|Apiary|Apiaries|"
"TEXT.Name.Structure.Apiary2","Honey Plantation#"
"TEXT.Name.Structure.Apiary3","Apiary v3#"
"TEXT.Name.Structure.Apiary4","Apiary v4#"
"TEXT.Name.Structure.CattlePasture","Cattle Pasture#"
"TEXT.Name.Structure.CattlePasture2","|Cattle Ranch|Cattle Ranches|"
"TEXT.Name.Structure.CattlePasture3","Cattle Pasture v3#"
"TEXT.Name.Structure.CattlePasture4","Cattle Pasture v4#"
"TEXT.Name.Structure.SheepPasture","Sheep Pasture#"
"TEXT.Name.Structure.SheepPasture2","|Sheep Ranch|Sheep Ranches|"
"TEXT.Name.Structure.SheepPasture3","Sheep Pasture v3#"
"TEXT.Name.Structure.SheepPasture4","Sheep Pasture v4#"
"TEXT.Name.Structure.PigPasture","Pig Pasture#"
"TEXT.Name.Structure.PigPasture2","|Pig Ranch|Pig Ranches|"
"TEXT.Name.Structure.PigPasture3","Pig Pasture v3#"
"TEXT.Name.Structure.PigPasture4","Pig Pasture v4#"
"TEXT.Name.Structure.HorsePasture","Horse Pasture#"
"TEXT.Name.Structure.HorsePasture2","|Horse Ranch|Horse Ranches|"
"TEXT.Name.Structure.HorsePasture3","Horse Pasture v3#"
"TEXT.Name.Structure.HorsePasture4","Horse Pasture v4#"
"TEXT.Name.Structure.TradingPost","Trading Post#"
"TEXT.Name.Structure.TradingPost2","Trading Depot#"
"TEXT.Name.Structure.TradingPost3","Trading Post v3#"
"TEXT.Name.Structure.TradingPost4","Trading Post v4#"
"TEXT.Name.Structure.GoldMine","Gold Mine#"
"TEXT.Name.Structure.GoldMine2","Gold Shaft Mine#"
"TEXT.Name.Structure.GoldMine3","Gold Mine v3#"
"TEXT.Name.Structure.GoldMine4","Gold Mine v4#"
"TEXT.Name.Structure.GemMine","Gem Mine#"
"TEXT.Name.Structure.GemMine2","Gem Shaft Mine#"
"TEXT.Name.Structure.GemMine3","Gem Mine v3#"
"TEXT.Name.Structure.GemMine4","Gem Mine v4#"
"TEXT.Name.Structure.MeteoriteMine","Meteorite Mine#"
"TEXT.Name.Structure.IronMine","Iron Mine#"
"TEXT.Name.Structure.IronMine2","Iron Shaft Mine#"
"TEXT.Name.Structure.IronMine3","Iron Mine v3#"
"TEXT.Name.Structure.IronMine4","Iron Mine v4#"
"TEXT.Name.Structure.StoneQuarry","|Stone Quarry|Stone Quarries|"
"TEXT.Name.Structure.StoneQuarry2","|Stone Shaft Quarry|Stone Shaft Quarries|"
"TEXT.Name.Structure.StoneQuarry3","Stone Quarry v3#"
"TEXT.Name.Structure.StoneQuarry4","Stone Quarry v4#"
"TEXT.Name.Structure.CoalMine","Coal Mine#"
"TEXT.Name.Structure.CoalMine2","Coal Shaft Mine#"
"TEXT.Name.Structure.CoalMine3","Coal Mine v3#"
"TEXT.Name.Structure.CoalMine4","Coal Mine v4#"
"TEXT.Name.Structure.PeatMine","Peat Mine#"
"TEXT.Name.Structure.PeatMine2","Peat Shaft Mine#"
"TEXT.Name.Structure.PeatMine3","Peat Mine v3#"
"TEXT.Name.Structure.PeatMine4","Peat Mine v4#"
"TEXT.Name.Structure.SaltMine","Salt Mine#"
"TEXT.Name.Structure.SaltMine2","Salt Shaft Mine#"
"TEXT.Name.Structure.SaltMine3","Salt Mine v3#"
"TEXT.Name.Structure.SaltMine4","Salt Mine v4#"
"TEXT.Name.Structure.SupplyDepot","Supply Depot#"
"TEXT.Name.Structure.Watchtower","Watchtower#"
"TEXT.Name.Structure.Fort","Fort#"
"TEXT.Name.Structure.RomanFort","Roman Fort#"
"TEXT.Name.Structure.Settlement","Settlement#"
"TEXT.Name.Structure.RomanCity","|Roman City|Roman Cities|"
"TEXT.Name.Structure.BanditCamp","Bandit Camp#"
"TEXT.Name.Structure.BanditFort","Bandit Fort#"
"TEXT.Name.Structure.SlaveCamp","Slave Camp#"
"TEXT.Name.Structure.Monastery","|Monastery|Monasteries|"
"TEXT.Name.Structure.AncientShrine","Ancient Shrine#"
"TEXT.Name.Structure.DestroyedBridge","Destroyed Bridge#"
"TEXT.Name.Structure.PillagedBridge","Pillaged Bridge#"
"TEXT.Name.Structure.RomanDam","Roman Dam#"
"TEXT.Name.Structure.PillagedRomanDam","Pillaged Roman Dam#"
"TEXT.Name.Structure.BurningWreckage","|Burning Wreckage|Burning Wreckage|"
"TEXT.Name.Structure.Wreckage","|Wreckage|Wreckage|"
"TEXT.Name.Resource.Score","|Score|Score|"
"TEXT.Name.Resource.Fame","|Fame|Fame|"
"TEXT.Name.Resource.Prestige","|Prestige|Prestige|"
"TEXT.Name.Resource.Knowledge","|Knowledge|Knowledge|"
"TEXT.Name.Resource.Food","|Food|Food|"
"TEXT.Name.Resource.Wheat","|Wheat|Wheat|"
"TEXT.Name.Resource.Fish","|Fish|Fish|"
"TEXT.Name.Resource.Meat","|Meat|Meat|"
"TEXT.Name.Resource.Cheese","|Cheese|Cheese|"
"TEXT.Name.Resource.Fruit","|Fruit|Fruit|"
"TEXT.Name.Resource.Treasure","|Treasure|Treasure|"
"TEXT.Name.Resource.Warhorse","Warhorse#"
"TEXT.Name.Resource.Horse","Horse#"
"TEXT.Name.Resource.Sheep","|Sheep|Sheep|"
"TEXT.Name.Resource.Cattle","|Cattle|Cattle|"
"TEXT.Name.Resource.Pig","Pig#"
"TEXT.Name.Resource.Deer","|Deer|Deer|"
"TEXT.Name.Resource.SteelArmor","|Steel Armor|Steel Armor|"
"TEXT.Name.Resource.SteelWeapon","Steel Weapon#"
"TEXT.Name.Resource.SteelTool","Steel Tool#"
"TEXT.Name.Resource.Steel","|Steel|Steel|"
"TEXT.Name.Resource.Armor","|Armor|Armor|"
"TEXT.Name.Resource.Weapon","Weapon#"
"TEXT.Name.Resource.Tool","Tool#"
"TEXT.Name.Resource.Iron","|Iron|Iron|"
"TEXT.Name.Resource.Coal","|Coal|Coal|"
"TEXT.Name.Resource.StoneBlock","Stone Block#"
"TEXT.Name.Resource.Stone","|Stone|Stone|"
"TEXT.Name.Resource.Board","Board#"
"TEXT.Name.Resource.Timber","|Timber|Timber|"
"TEXT.Name.Resource.Parchment","|Parchment|Parchment|"
"TEXT.Name.Resource.FineCloth","|Fine Cloth|Fine Cloth|"
"TEXT.Name.Resource.Cloth","|Cloth|Cloth|"
"TEXT.Name.Resource.Wool","|Wool|Wool|"
"TEXT.Name.Resource.Flax","|Flax|Flax|"
"TEXT.Name.Resource.Oil","|Oil|Oil|"
"TEXT.Name.Resource.Olives","|Olives|Olives|"
"TEXT.Name.Resource.Alcohol","|Alcohol|Alcohol|"
"TEXT.Name.Resource.Grapes","|Grapes|Grapes|"
"TEXT.Name.Resource.Honey","|Honey|Honey|"
"TEXT.Name.Resource.Barley","|Barley|Barley|"
"TEXT.Name.Resource.Salt","|Salt|Salt|"
"TEXT.Name.Deposit.IronDeposit","Iron Deposit#"
"TEXT.Name.Deposit.LargeIronDeposit","Large Iron Deposit#"
"TEXT.Name.Deposit.VastIronDeposit","Vast Iron Deposit#"
"TEXT.Name.Deposit.Meteorite","Meteorite#"
"TEXT.Name.Deposit.LargeMeteorite","Large Meteorite#"
"TEXT.Name.Deposit.VastMeteorite","Vast Meteorite#"
"TEXT.Name.Deposit.GoldDeposit","Gold Deposit#"
"TEXT.Name.Deposit.LargeGoldDeposit","Large Gold Deposit#"
"TEXT.Name.Deposit.VastGoldDeposit","Vast Gold Deposit#"
"TEXT.Name.Deposit.GemsDeposit","Gems Deposit#"
"TEXT.Name.Deposit.LargeGemsDeposit","Large Gems Deposit#"
"TEXT.Name.Deposit.VastGemsDeposit","Vast Gems Deposit#"
"TEXT.Name.Deposit.StoneDeposit","Stone Deposit#"
"TEXT.Name.Deposit.LargeStoneDeposit","Large Stone Deposit#"
"TEXT.Name.Deposit.VastStoneDeposit","Vast Stone Deposit#"
"TEXT.Name.Deposit.CoalDeposit","Coal Deposit#"
"TEXT.Name.Deposit.LargeCoalDeposit","Large Coal Deposit#"
"TEXT.Name.Deposit.VastCoalDeposit","Vast Coal Deposit#"
"TEXT.Name.Deposit.PeatDeposit","Peat Deposit#"
"TEXT.Name.Deposit.LargePeatDeposit","Large Peat Deposit#"
"TEXT.Name.Deposit.VastPeatDeposit","Vast Peat Deposit#"
"TEXT.Name.Deposit.SaltDeposit","Salt Deposit#"
"TEXT.Name.Deposit.LargeSaltDeposit","Large Salt Deposit#"
"TEXT.Name.Deposit.VastSaltDeposit","Vast Salt Deposit#"
"TEXT.Name.Deposit.HerdOfHorses","|Herd of Horses|Herds of Horses|"
"TEXT.Name.Deposit.LargeHerdOfHorses","|Large Herd of Horses|Large Herds of Horses|"
"TEXT.Name.Deposit.VastHerdOfHorses","|Vast Herd of Horses|Vast Herds of Horses|"
"TEXT.Name.Deposit.HerdOfPurebreds","|Herd of Purebreds|Herds of Purebreds|"
"TEXT.Name.Deposit.LargeHerdOfPurebreds","|Large Herd of Purebreds|Large Herds of Purebreds|"
"TEXT.Name.Deposit.VastHerdOfPurebreds","|Vast Herd of Purebreds|Vast Herds of Purebreds|"
"TEXT.Name.Deposit.HerdOfCattle","|Herd of Cattle|Herds of Cattle|"
"TEXT.Name.Deposit.LargeHerdOfCattle","|Large Herd of Cattle|Large Herds of Cattle|"
"TEXT.Name.Deposit.VastHerdOfCattle","|Vast Herd of Cattle|Vast Herds of Cattle|"
"TEXT.Name.Deposit.HerdOfAurochs","|Herd of Aurochs|Herds of Aurochs|"
"TEXT.Name.Deposit.LargeHerdOfAurochs","|Large Herd of Aurochs|Large Herds of Aurochs|"
"TEXT.Name.Deposit.VastHerdOfAurochs","|Vast Herd of Aurochs|Vast Herds of Aurochs|"
"TEXT.Name.Deposit.HerdOfSheep","|Herd of Sheep|Herds of Sheep|"
"TEXT.Name.Deposit.LargeHerdOfSheep","|Large Herd of Sheep|Large Herds of Sheep|"
"TEXT.Name.Deposit.VastHerdOfSheep","|Vast Herd of Sheep|Vast Herds of Sheep|"
"TEXT.Name.Deposit.HerdOfPigs","|Herd of Pigs|Herd of Pigs|"
"TEXT.Name.Deposit.LargeHerdOfPigs","|Large Herd of Pigs|Large Herds of Pigs|"
"TEXT.Name.Deposit.VastHerdOfPigs","|Vast Herd of Pigs|Vast Herds of Pigs|"
"TEXT.Name.Deposit.HerdOfDeer","|Herd of Deer|Herd of Deer|"
"TEXT.Name.Deposit.LargeHerdOfDeer","|Large Herd of Deer|Large Herds of Deer|"
"TEXT.Name.Deposit.VastHerdOfDeer","|Vast Herd of Deer|Vast Herds of Deer|"
"TEXT.Name.Deposit.Beehive","Beehive#"
"TEXT.Name.Deposit.LargeBeehive","Large Beehive#"
"TEXT.Name.Deposit.VastBeehive","Vast Beehive#"
"TEXT.Name.Deposit.SchoolOfFish","|School of Fish|Schools of Fish|"
"TEXT.Name.Deposit.LargeSchoolOfFish","|Large School of Fish|Large Schools of Fish|"
"TEXT.Name.Deposit.VastSchoolOfFish","|Vast School of Fish|Vast Schools of Fish|"
"TEXT.Name.Deposit.PatchOfBerries","|Patch of Berries|Patches of Berries|"
"TEXT.Name.Deposit.LargePatchOfBerries","|Large Patch of Berries|Large Patches of Berries|"
"TEXT.Name.Deposit.VastPatchOfBerries","|Vast Patch of Berries|Vast Patches of Berries|"
"TEXT.Name.Deposit.GroveOfFruitTrees","|Grove of Fruit Trees|Groves of Fruit Trees|"
"TEXT.Name.Deposit.LargeGroveOfFruitTrees","|Large Grove of Fruit Trees|Large Groves of Fruit Trees|"
"TEXT.Name.Deposit.VastGroveOfFruitTrees","|Vast Grove of Fruit Trees|Vast Groves of Fruit Trees|"
"TEXT.Name.Deposit.FieldOfWheat","|Field of Wheat|Fields of Wheat|"
"TEXT.Name.Deposit.LargeFieldOfWheat","|Large Field of Wheat|Large Fields of Wheat|"
"TEXT.Name.Deposit.VastFieldOfWheat","|Vast Field of Wheat|Vast Fields of Wheat|"
